Date,account,total_pnl,total_volume,avg_trade_size,trade_count,avg_leverage,win_rate,long_pct,max_drawdown,Classification,Sentiment_Score
2023-01-05,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,477.0,159.0,3,1.0,0.0,100.0,0.0,Fear,29.0
2023-05-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,50005.83,5556.2,9,1.0,0.0,77.77777777777779,0.0,Neutral,49.0
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53,264239.53,14679.97,18,1.0,5.555555555555555,55.55555555555556,-1731.272219,Greed,65.0
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2008.18,334.7,6,1.0,0.0,100.0,-10558.629223,Greed,71.0
2024-01-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.24,472974.7,3452.37,137,1.0,93.43065693430657,27.00729927007299,0.0,Greed,70.0
2024-01-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.84,134989.44,4654.81,29,1.0,6.896551724137931,86.20689655172413,0.0,Greed,68.0
2024-01-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.12,204481.03,4260.02,48,1.0,83.33333333333334,14.583333333333334,-39.89048999999068,Greed,68.0
2024-01-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,87025.45,6216.1,14,1.0,0.0,100.0,-28772.717280000004,Greed,72.0
2024-01-06,0x8477e447846c758f5a675856001ea72298fd9cb5,91.51,12834.62,513.38,25,1.0,36.0,36.0,0.0,Greed,70.0
2024-01-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1202.49,97200.55,7476.97,13,1.0,69.23076923076923,15.384615384615385,0.0,Greed,71.0
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3863.35,265469.6,5205.29,51,1.0,33.33333333333333,7.8431372549019605,0.0,Greed,71.0
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,35064.43,3896.05,9,1.0,0.0,100.0,0.0,Greed,71.0
2024-01-08,0x8477e447846c758f5a675856001ea72298fd9cb5,167.08,48714.35,1432.78,34,1.0,11.76470588235294,73.52941176470588,-16018.270121,Greed,71.0
2024-01-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.74,0.74,1,1.0,0.0,0.0,-5716.86972,Greed,71.0
2024-01-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,143995.01,11076.54,13,1.0,0.0,100.0,0.0,Greed,71.0
2024-01-09,0x8477e447846c758f5a675856001ea72298fd9cb5,137.43,12359.68,1029.97,12,1.0,41.66666666666667,58.333333333333336,-14062.412752,Extreme Greed,76.0
2024-01-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,139954.32,34988.58,4,1.0,0.0,100.0,-83553.88530600001,Greed,73.0
2024-01-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-0.1,29949.93,2139.28,14,1.0,28.57142857142857,42.857142857142854,-6.62861,Extreme Greed,76.0
2024-01-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1040.57,231031.1,25670.12,9,1.0,22.22222222222222,77.77777777777779,-52605.51400100001,Extreme Greed,76.0
2024-01-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,337.84,600205.84,22229.85,27,1.0,59.25925925925925,18.51851851851852,-12597.097569000012,Greed,71.0
2024-01-12,0x8477e447846c758f5a675856001ea72298fd9cb5,1169.43,109899.26,893.49,123,1.0,44.71544715447154,44.71544715447154,0.0,Greed,71.0
2024-01-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.0,2998.76,999.59,3,1.0,0.0,100.0,0.0,Greed,71.0
2024-01-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,197.42,1434.86,358.72,4,1.0,50.0,50.0,0.0,Greed,71.0
